event_year,event_month,event_dow,event_hour,event_type,division,apprehension_made,hood_140
2014,January,Wednesday,3,Suicide-related,D51,No,72
2014,January,Wednesday,11,Suicide-related,D13,Yes,92
2014,January,Wednesday,6,Overdose,D14,No,81
2014,January,Wednesday,19,Suicide-related,D42,Yes,131
2014,January,Thursday,14,Person in Crisis,D52,No,75
2014,January,Thursday,14,Overdose,D11,No,86
2014,January,Thursday,7,Suicide-related,D41,Yes,120
2014,January,Thursday,20,Person in Crisis,D41,No,122
2014,January,Thursday,18,Overdose,D32,Yes,37
2014,January,Thursday,2,Person in Crisis,D42,No,129
2014,January,Thursday,2,Person in Crisis,D41,No,126
2014,January,Thursday,16,Person in Crisis,D11,No,88
2014,January,Thursday,3,Person in Crisis,D52,No,98
2014,January,Thursday,16,Suicide-related,D42,No,117
2014,January,Thursday,0,Person in Crisis,D55,No,63
2014,January,Thursday,10,Suicide-related,D11,No,90
2014,January,Thursday,10,Person in Crisis,D14,No,85
2014,January,Thursday,14,Suicide-related,D32,Yes,34
2014,January,Thursday,17,Person in Crisis,D53,Yes,98
2014,January,Thursday,21,Person in Crisis,D23,No,8
2014,January,Thursday,1,Person in Crisis,D54,No,66
2014,January,Thursday,8,Person in Crisis,D55,No,70
2014,January,Thursday,11,Person in Crisis,D11,Yes,87
2014,January,Thursday,14,Suicide-related,D22,No,16
2014,January,Thursday,23,Suicide-related,D32,Yes,26
2014,January,Thursday,19,Person in Crisis,D41,No,122
2014,January,Thursday,12,Person in Crisis,D14,Yes,78
2014,January,Thursday,22,Suicide-related,D54,No,57
2014,January,Thursday,20,Suicide-related,D52,Yes,76
2014,January,Thursday,12,Suicide-related,D42,Yes,129
2014,January,Thursday,16,Overdose,D55,No,69
2014,January,Thursday,13,Person in Crisis,D51,No,77
2014,January,Thursday,16,Suicide-related,D22,Yes,16
2014,January,Thursday,14,Person in Crisis,D32,No,50
2014,January,Thursday,23,Person in Crisis,D31,No,26
2014,January,Thursday,0,Person in Crisis,D22,Yes,20
2014,January,Thursday,19,Person in Crisis,D32,No,32
2014,January,Thursday,13,Person in Crisis,D43,No,123
2014,January,Thursday,15,Person in Crisis,D14,Yes,81
2014,January,Thursday,19,Suicide-related,D11,No,86
2014,January,Thursday,13,Suicide-related,D23,No,1
2014,January,Thursday,9,Person in Crisis,D51,No,75
2014,January,Thursday,19,Overdose,D12,No,111
2014,January,Thursday,19,Suicide-related,D41,No,122
2014,January,Thursday,3,Person in Crisis,D51,No,77
2014,January,Thursday,3,Person in Crisis,D42,No,116
2014,January,Thursday,0,Suicide-related,D41,No,121
2014,January,Thursday,19,Suicide-related,D41,No,122
2014,January,Thursday,19,Person in Crisis,D41,Yes,122
2014,January,Thursday,12,Suicide-related,D12,No,113
2014,January,Thursday,21,Suicide-related,D52,Yes,76
2014,January,Thursday,20,Person in Crisis,D55,No,63
2014,January,Thursday,12,Person in Crisis,D13,No,108
2014,January,Thursday,12,Person in Crisis,D41,Yes,126
2014,January,Friday,18,Person in Crisis,D55,No,68
2014,January,Friday,23,Suicide-related,D23,No,1
2014,January,Friday,21,Person in Crisis,D42,No,130
2014,January,Friday,21,Person in Crisis,D32,No,36
2014,January,Friday,7,Suicide-related,D43,No,136
2014,January,Friday,18,Suicide-related,D11,No,87
2014,January,Friday,23,Person in Crisis,D41,No,120
2014,January,Friday,18,Suicide-related,D11,No,93
2014,January,Friday,16,Person in Crisis,D54,No,54
2014,January,Friday,12,Person in Crisis,D14,No,85
2014,January,Friday,11,Suicide-related,D12,No,113
2014,January,Friday,18,Person in Crisis,D23,No,2
2014,January,Friday,17,Person in Crisis,D51,No,75
2014,January,Friday,3,Person in Crisis,D32,Yes,35
2014,January,Friday,9,Person in Crisis,D12,Yes,111
2014,January,Friday,11,Suicide-related,D51,No,73
2014,January,Friday,10,Person in Crisis,D12,No,30
2014,January,Friday,11,Suicide-related,D51,No,73
2014,January,Friday,11,Person in Crisis,D14,No,78
2014,January,Friday,12,Person in Crisis,D23,Yes,1
2014,January,Friday,12,Person in Crisis,D14,No,83
2014,January,Friday,18,Suicide-related,D51,No,75
2014,January,Friday,19,Person in Crisis,D53,No,95
2014,January,Friday,19,Person in Crisis,D33,Yes,46
2014,January,Friday,11,Suicide-related,D32,No,39
2014,January,Friday,18,Suicide-related,D22,No,14
2014,January,Friday,6,Person in Crisis,D31,No,25
2014,January,Friday,5,Person in Crisis,D23,No,2
2014,January,Friday,12,Person in Crisis,D51,Yes,75
2014,January,Friday,17,Person in Crisis,D31,No,26
2014,January,Friday,18,Person in Crisis,D14,No,82
2014,January,Friday,17,Person in Crisis,D14,Yes,77
2014,January,Friday,21,Person in Crisis,D51,No,71
2014,January,Friday,11,Suicide-related,D14,No,95
2014,January,Friday,21,Person in Crisis,D53,Yes,100
2014,January,Friday,10,Person in Crisis,D32,No,36
2014,January,Friday,23,Person in Crisis,D55,Yes,70
2014,January,Friday,9,Person in Crisis,D32,No,51
2014,January,Friday,11,Suicide-related,D53,No,104
2014,January,Friday,20,Suicide-related,D53,No,104
2014,January,Friday,12,Person in Crisis,D11,No,87
2014,January,Friday,15,Person in Crisis,D53,Yes,99
2014,January,Friday,23,Suicide-related,D54,Yes,58
2014,January,Friday,19,Suicide-related,D52,No,77
2014,January,Saturday,1,Person in Crisis,D11,No,88
2014,January,Saturday,3,Person in Crisis,D51,No,71
2014,January,Saturday,13,Suicide-related,D31,No,22
2014,January,Saturday,10,Suicide-related,D43,Yes,140
2014,January,Saturday,1,Person in Crisis,D33,No,40
2014,January,Saturday,17,Person in Crisis,D51,No,72
2014,January,Saturday,2,Person in Crisis,D52,Yes,76
2014,January,Saturday,21,Person in Crisis,D51,No,72
2014,January,Saturday,14,Person in Crisis,D11,No,84
2014,January,Saturday,17,Person in Crisis,D14,No,85
2014,January,Saturday,19,Person in Crisis,D23,No,8
2014,January,Saturday,21,Person in Crisis,D33,No,43
2014,January,Saturday,14,Person in Crisis,D43,No,139
2014,January,Saturday,18,Person in Crisis,D14,Yes,85
2014,January,Saturday,18,Person in Crisis,D22,Yes,14
2014,January,Saturday,18,Person in Crisis,D53,No,98
2014,January,Saturday,1,Person in Crisis,D52,Yes,76
2014,January,Saturday,17,Person in Crisis,D41,Yes,122
2014,January,Saturday,22,Person in Crisis,D43,No,135
2014,January,Saturday,3,Overdose,D33,No,53
2014,January,Saturday,2,Person in Crisis,D54,No,59
2014,January,Saturday,2,Person in Crisis,D41,No,124
2014,January,Saturday,20,Person in Crisis,D54,No,67
2014,January,Saturday,11,Suicide-related,D42,Yes,118
2014,January,Saturday,22,Suicide-related,D32,No,26
2014,January,Saturday,5,Person in Crisis,D11,No,88
2014,January,Saturday,14,Person in Crisis,D41,No,121
2014,January,Saturday,0,Person in Crisis,D51,No,74
2014,January,Saturday,18,Person in Crisis,D53,Yes,98
2014,January,Saturday,2,Suicide-related,D52,Yes,76
2014,January,Saturday,22,Person in Crisis,D41,No,122
2014,January,Saturday,17,Person in Crisis,D51,No,75
2014,January,Saturday,18,Suicide-related,D33,No,47
2014,January,Saturday,17,Person in Crisis,D55,Yes,64
2014,January,Saturday,11,Suicide-related,D33,No,43
2014,January,Saturday,17,Suicide-related,D41,No,122
2014,January,Saturday,17,Person in Crisis,D41,No,122
2014,January,Saturday,12,Overdose,D43,Yes,139
2014,January,Saturday,3,Suicide-related,D53,No,104
2014,January,Saturday,1,Suicide-related,D31,No,27
2014,January,Saturday,12,Suicide-related,D14,No,93
2014,January,Saturday,13,Person in Crisis,D51,Yes,73
2014,January,Saturday,18,Person in Crisis,D22,Yes,17
2014,January,Saturday,18,Suicide-related,D51,No,74
2014,January,Saturday,22,Suicide-related,D43,Yes,134
2014,January,Saturday,19,Suicide-related,D52,No,76
2014,January,Saturday,17,Suicide-related,D11,No,89
2014,January,Sunday,18,Person in Crisis,D55,No,69
2014,January,Sunday,14,Overdose,D31,No,27
2014,January,Sunday,1,Suicide-related,D41,Yes,138
2014,January,Sunday,18,Person in Crisis,D41,No,122
2014,January,Sunday,2,Person in Crisis,D51,No,71
2014,January,Sunday,17,Person in Crisis,D52,Yes,78
2014,January,Sunday,16,Suicide-related,D53,No,98
2014,January,Sunday,9,Person in Crisis,D22,No,14
2014,January,Sunday,14,Overdose,D51,No,74
2014,January,Sunday,0,Overdose,D13,No,106
2014,January,Sunday,22,Suicide-related,D54,Yes,66
2014,January,Sunday,6,Suicide-related,D43,No,137
2014,January,Sunday,10,Person in Crisis,D22,Yes,14
2014,January,Sunday,9,Person in Crisis,D33,No,48
2014,January,Sunday,19,Suicide-related,D11,No,90
2014,January,Sunday,19,Overdose,D22,No,18
2014,January,Sunday,20,Person in Crisis,D11,No,84
2014,January,Sunday,21,Person in Crisis,D52,No,77
2014,January,Sunday,15,Person in Crisis,D42,No,129
2014,January,Sunday,0,Suicide-related,D53,No,95
2014,January,Sunday,7,Person in Crisis,D22,No,14
2014,January,Sunday,12,Person in Crisis,D14,No,82
2014,January,Sunday,18,Person in Crisis,D11,No,86
2014,January,Sunday,16,Overdose,D23,No,1
2014,January,Sunday,1,Person in Crisis,D54,Yes,66
2014,January,Sunday,19,Suicide-related,D53,No,95
2014,January,Sunday,10,Person in Crisis,D14,No,84
2014,January,Sunday,12,Person in Crisis,D31,No,25
2014,January,Sunday,12,Person in Crisis,D42,No,129
2014,January,Sunday,21,Person in Crisis,D14,No,82
2014,January,Sunday,21,Person in Crisis,D22,No,11
2014,January,Sunday,13,Person in Crisis,D23,No,5
2014,January,Sunday,13,Person in Crisis,D51,No,75
2014,January,Sunday,13,Person in Crisis,D51,No,73
2014,January,Sunday,21,Suicide-related,D32,Yes,35
2014,January,Sunday,22,Person in Crisis,D43,No,136
2014,January,Sunday,0,Person in Crisis,D53,No,41
2014,January,Sunday,8,Suicide-related,D31,No,21
2014,January,Sunday,20,Person in Crisis,D42,No,118
2014,January,Monday,10,Person in Crisis,D14,Yes,78
2014,January,Monday,8,Overdose,D55,No,70
2014,January,Monday,21,Person in Crisis,D54,No,62
2014,January,Monday,2,Suicide-related,D51,No,75
2014,January,Monday,13,Person in Crisis,D52,No,76
2014,January,Monday,14,Person in Crisis,D52,No,78
2014,January,Monday,17,Suicide-related,D12,No,113
2014,January,Monday,15,Person in Crisis,D52,Yes,76
2014,January,Monday,4,Suicide-related,D31,No,26
2014,January,Monday,16,Person in Crisis,D41,No,126
2014,January,Monday,15,Person in Crisis,D13,No,109
2014,January,Monday,0,Person in Crisis,D53,No,55
2014,January,Monday,8,Person in Crisis,D13,No,107
2014,January,Monday,13,Person in Crisis,D32,Yes,105
2014,January,Monday,1,Suicide-related,D51,No,75
2014,January,Monday,16,Person in Crisis,D43,Yes,135
2014,January,Monday,13,Person in Crisis,D43,No,136
2014,January,Monday,14,Overdose,D32,No,31
2014,January,Monday,16,Person in Crisis,D55,No,63
2014,January,Monday,15,Suicide-related,D14,No,85
2014,January,Monday,15,Person in Crisis,D41,Yes,122
2014,January,Monday,15,Overdose,D23,No,1
2014,January,Monday,22,Suicide-related,D23,No,5
2014,January,Monday,11,Person in Crisis,D12,No,111
2014,January,Monday,11,Person in Crisis,D41,No,125
2014,January,Monday,14,Person in Crisis,D55,No,64
2014,January,Monday,12,Person in Crisis,D14,No,78
2014,January,Monday,10,Person in Crisis,D51,No,75
2014,January,Monday,0,Overdose,D11,No,93
2014,January,Monday,16,Suicide-related,D14,No,84
2014,January,Monday,9,Suicide-related,D53,No,98
2014,January,Monday,1,Person in Crisis,D22,No,11
2014,January,Monday,20,Suicide-related,D55,No,70
2014,January,Monday,10,Person in Crisis,D33,No,52
2014,January,Monday,9,Person in Crisis,D13,No,94
2014,January,Monday,10,Suicide-related,D31,No,27
2014,January,Monday,15,Person in Crisis,D51,No,75
2014,January,Monday,14,Suicide-related,D11,No,87
2014,January,Monday,16,Person in Crisis,D54,No,44
2014,January,Monday,23,Overdose,D52,No,76
2014,January,Monday,1,Suicide-related,D22,No,10
2014,January,Monday,1,Person in Crisis,D55,No,62
2014,January,Monday,12,Suicide-related,D43,Yes,135
2014,January,Monday,1,Suicide-related,D23,No,6
2014,January,Monday,18,Suicide-related,D23,No,5
2014,January,Monday,15,Person in Crisis,D55,Yes,68
2014,January,Monday,4,Person in Crisis,D52,No,78
2014,January,Monday,9,Suicide-related,D13,Yes,96
2014,January,Monday,11,Overdose,D23,Yes,7
2014,January,Monday,17,Person in Crisis,D52,No,76
2014,January,Monday,1,Suicide-related,D11,No,90
2014,January,Monday,17,Person in Crisis,D23,No,5
2014,January,Monday,17,Person in Crisis,D51,No,75
2014,January,Monday,9,Person in Crisis,D23,No,5
2014,January,Monday,9,Person in Crisis,D43,No,139
2014,January,Monday,18,Person in Crisis,D52,No,78
2014,January,Monday,8,Suicide-related,D43,No,136
2014,January,Monday,18,Suicide-related,D14,No,95
2014,January,Monday,12,Person in Crisis,D41,No,119
2014,January,Monday,11,Person in Crisis,D32,No,105
2014,January,Monday,13,Person in Crisis,D14,No,77
2014,January,Monday,8,Person in Crisis,D51,Yes,75
2014,January,Monday,22,Person in Crisis,D14,Yes,82
2014,January,Monday,10,Person in Crisis,D43,No,136
2014,January,Monday,14,Person in Crisis,D41,No,119
2014,January,Monday,22,Suicide-related,D43,No,136
2014,January,Monday,10,Suicide-related,D14,No,78
2014,January,Monday,19,Person in Crisis,D33,No,43
2014,January,Monday,8,Person in Crisis,D32,No,36
2014,January,Monday,20,Suicide-related,D23,No,6
2014,January,Monday,12,Suicide-related,D33,Yes,42
2014,January,Monday,16,Suicide-related,D14,Yes,81
2014,January,Monday,19,Person in Crisis,D23,Yes,8
2014,January,Tuesday,16,Person in Crisis,D42,No,118
2014,January,Tuesday,2,Person in Crisis,D13,No,108
2014,January,Tuesday,2,Suicide-related,D32,Yes,35
2014,January,Tuesday,17,Person in Crisis,D51,No,72
2014,January,Tuesday,18,Person in Crisis,D54,No,61
2014,January,Tuesday,8,Person in Crisis,D42,No,131
2014,January,Tuesday,12,Suicide-related,D51,No,71
2014,January,Tuesday,21,Person in Crisis,D55,No,70
2014,January,Tuesday,0,Person in Crisis,D22,Yes,14
2014,January,Tuesday,22,Suicide-related,D42,No,117
2014,January,Tuesday,10,Person in Crisis,D54,Yes,44
2014,January,Tuesday,14,Person in Crisis,D14,Yes,82
2014,January,Tuesday,15,Suicide-related,D13,No,109
2014,January,Tuesday,3,Person in Crisis,D14,No,81
2014,January,Tuesday,16,Suicide-related,D53,No,95
2014,January,Tuesday,16,Suicide-related,D33,No,48
2014,January,Tuesday,18,Person in Crisis,D14,No,78
2014,January,Tuesday,21,Person in Crisis,D51,Yes,75
2014,January,Tuesday,17,Person in Crisis,D52,No,76
2014,January,Tuesday,12,Overdose,D41,No,124
2014,January,Tuesday,22,Suicide-related,D11,No,88
2014,January,Tuesday,15,Suicide-related,D14,No,81
2014,January,Tuesday,16,Suicide-related,D55,No,64
2014,January,Tuesday,15,Person in Crisis,D32,No,35
2014,January,Tuesday,17,Person in Crisis,D13,Yes,108
2014,January,Tuesday,14,Person in Crisis,D53,No,95
2014,January,Tuesday,20,Suicide-related,D13,Yes,107
2014,January,Tuesday,3,Person in Crisis,D51,No,75
2014,January,Tuesday,14,Suicide-related,D32,No,105
2014,January,Tuesday,20,Person in Crisis,D53,No,102
2014,January,Tuesday,8,Person in Crisis,D13,No,106
2014,January,Tuesday,2,Person in Crisis,D41,No,124
2014,January,Tuesday,15,Person in Crisis,D14,No,82
2014,January,Tuesday,21,Person in Crisis,D11,No,90
2014,January,Tuesday,16,Suicide-related,D51,No,71
2014,January,Tuesday,16,Suicide-related,D14,Yes,95
2014,January,Tuesday,0,Person in Crisis,D53,No,104
2014,January,Tuesday,6,Person in Crisis,D11,No,90
2014,January,Tuesday,11,Person in Crisis,D43,No,123
2014,January,Tuesday,11,Person in Crisis,D22,Yes,14
2014,January,Tuesday,2,Person in Crisis,D52,No,76
2014,January,Tuesday,13,Person in Crisis,D23,No,1
2014,January,Tuesday,13,Suicide-related,D55,No,70
2014,January,Tuesday,13,Person in Crisis,D11,No,89
2014,January,Tuesday,13,Person in Crisis,D54,No,58
2014,January,Tuesday,10,Suicide-related,D31,No,24
2014,January,Tuesday,5,Person in Crisis,D54,No,61
2014,January,Tuesday,6,Person in Crisis,D42,No,117
2014,January,Tuesday,13,Person in Crisis,D51,No,73
2014,January,Tuesday,13,Person in Crisis,D54,Yes,67
2014,January,Tuesday,2,Suicide-related,D13,Yes,94
2014,January,Tuesday,12,Person in Crisis,D14,No,84
2014,January,Tuesday,15,Suicide-related,D43,No,135
2014,January,Tuesday,12,Person in Crisis,D55,No,62
2014,January,Tuesday,16,Suicide-related,D42,No,132
2014,January,Tuesday,14,Person in Crisis,D31,No,25
2014,January,Tuesday,5,Suicide-related,D43,No,135
2014,January,Tuesday,21,Person in Crisis,D14,No,78
2014,January,Tuesday,17,Person in Crisis,D51,No,75
2014,January,Tuesday,12,Person in Crisis,D14,Yes,95
2014,January,Tuesday,7,Person in Crisis,D42,Yes,129
2014,January,Tuesday,20,Person in Crisis,D43,Yes,137
2014,January,Wednesday,12,Person in Crisis,D14,No,78
2014,January,Wednesday,21,Person in Crisis,D55,No,70
2014,January,Wednesday,15,Person in Crisis,D23,No,2
2014,January,Wednesday,23,Suicide-related,D51,No,75
2014,January,Wednesday,14,Person in Crisis,D22,No,17
2014,January,Wednesday,6,Person in Crisis,D33,Yes,47
2014,January,Wednesday,17,Suicide-related,D32,No,39
2014,January,Wednesday,13,Person in Crisis,D14,No,79
2014,January,Wednesday,2,Person in Crisis,D13,No,92
2014,January,Wednesday,17,Person in Crisis,D42,No,128
2014,January,Wednesday,20,Suicide-related,D22,No,14
2014,January,Wednesday,6,Suicide-related,D41,No,126
2014,January,Wednesday,13,Person in Crisis,D33,Yes,48
2014,January,Wednesday,14,Suicide-related,D11,No,90
2014,January,Wednesday,16,Suicide-related,D11,No,86
2014,January,Wednesday,4,Person in Crisis,D14,No,93
2014,January,Wednesday,3,Person in Crisis,D43,No,136
2014,January,Wednesday,19,Suicide-related,D55,No,69
2014,January,Wednesday,17,Person in Crisis,D23,Yes,2
2014,January,Wednesday,10,Suicide-related,D55,No,63
2014,January,Wednesday,15,Suicide-related,D51,No,73
2014,January,Wednesday,2,Person in Crisis,D43,No,136
2014,January,Wednesday,16,Suicide-related,D32,Yes,34
2014,January,Wednesday,23,Suicide-related,D55,No,68
2014,January,Wednesday,13,Person in Crisis,D41,No,124
2014,January,Wednesday,6,Person in Crisis,D31,No,27
2014,January,Wednesday,16,Suicide-related,D12,No,111
2014,January,Wednesday,16,Suicide-related,D22,Yes,14
2014,January,Wednesday,0,Person in Crisis,D33,No,46
2014,January,Wednesday,23,Suicide-related,D54,No,60
2014,January,Wednesday,16,Person in Crisis,D22,No,17
2014,January,Wednesday,10,Suicide-related,D41,No,119
2014,January,Wednesday,18,Suicide-related,D22,Yes,14
2014,January,Wednesday,13,Person in Crisis,D13,No,94
2014,January,Wednesday,11,Person in Crisis,D51,Yes,73
2014,January,Wednesday,11,Suicide-related,D42,Yes,128
2014,January,Wednesday,11,Person in Crisis,D14,No,85
2014,January,Wednesday,15,Person in Crisis,D53,No,95
2014,January,Wednesday,10,Suicide-related,D14,No,81
2014,January,Wednesday,8,Suicide-related,D14,Yes,78
2014,January,Wednesday,15,Person in Crisis,D55,No,70
2014,January,Wednesday,13,Person in Crisis,D53,No,95
2014,January,Wednesday,2,Person in Crisis,D53,No,103
2014,January,Wednesday,12,Person in Crisis,D54,No,66
2014,January,Wednesday,2,Person in Crisis,D11,No,88
2014,January,Wednesday,4,Overdose,D22,No,13
2014,January,Wednesday,9,Person in Crisis,D23,No,1
2014,January,Wednesday,10,Person in Crisis,D51,No,73
2014,January,Wednesday,23,Person in Crisis,D23,No,1
2014,January,Wednesday,13,Person in Crisis,D14,No,78
2014,January,Wednesday,7,Person in Crisis,D23,Yes,2
2014,January,Wednesday,0,Overdose,D32,No,39
2014,January,Wednesday,21,Suicide-related,D55,No,70
2014,January,Wednesday,2,Suicide-related,D51,No,71
2014,January,Wednesday,19,Suicide-related,D12,No,110
2014,January,Wednesday,19,Person in Crisis,D51,No,75
2014,January,Wednesday,14,Person in Crisis,D14,Yes,82
2014,January,Wednesday,23,Person in Crisis,D23,No,5
2014,January,Wednesday,9,Suicide-related,D55,No,62
2014,January,Wednesday,12,Suicide-related,D11,No,86
2014,January,Thursday,13,Person in Crisis,D55,No,67
2014,January,Thursday,16,Suicide-related,D53,Yes,104
2014,January,Thursday,19,Person in Crisis,D11,No,86
2014,January,Thursday,19,Suicide-related,D51,No,73
2014,January,Thursday,9,Person in Crisis,D42,No,116
2014,January,Thursday,21,Person in Crisis,D23,No,2
2014,January,Thursday,3,Person in Crisis,D22,Yes,14
2014,January,Thursday,2,Person in Crisis,D43,No,127
2014,January,Thursday,20,Suicide-related,D22,No,14
2014,January,Thursday,14,Person in Crisis,D51,No,75
2014,January,Thursday,2,Person in Crisis,D51,No,75
2014,January,Thursday,11,Suicide-related,D51,No,75
2014,January,Thursday,13,Suicide-related,D52,No,78
2014,January,Thursday,18,Suicide-related,D32,Yes,41
2014,January,Thursday,20,Suicide-related,D41,No,124
2014,January,Thursday,11,Person in Crisis,D51,No,75
2014,January,Thursday,14,Person in Crisis,D11,No,93
2014,January,Thursday,11,Person in Crisis,D51,No,73
2014,January,Thursday,7,Overdose,D22,No,16
2014,January,Thursday,13,Suicide-related,D33,No,47
2014,January,Thursday,17,Suicide-related,D11,Yes,90
2014,January,Thursday,0,Person in Crisis,D11,No,86
2014,January,Thursday,20,Suicide-related,D52,Yes,77
2014,January,Thursday,17,Person in Crisis,D42,No,116
2014,January,Thursday,9,Suicide-related,D55,No,64
2014,January,Thursday,10,Suicide-related,D32,Yes,34
2014,January,Thursday,17,Person in Crisis,D43,No,136
2014,January,Thursday,19,Person in Crisis,D11,No,87
2014,January,Thursday,10,Suicide-related,D33,Yes,119
2014,January,Thursday,15,Person in Crisis,D51,No,71
2014,January,Thursday,9,Suicide-related,D51,Yes,75
2014,January,Thursday,5,Suicide-related,D32,Yes,39
2014,January,Thursday,5,Overdose,D22,No,14
2014,January,Thursday,22,Person in Crisis,D11,No,86
2014,January,Thursday,23,Person in Crisis,D32,No,39
2014,January,Thursday,20,Person in Crisis,D42,No,129
2014,January,Thursday,16,Person in Crisis,D54,Yes,62
2014,January,Thursday,12,Person in Crisis,D33,Yes,47
2014,January,Thursday,21,Suicide-related,D33,No,48
2014,January,Thursday,17,Person in Crisis,D41,No,122
2014,January,Thursday,20,Person in Crisis,D32,No,38
2014,January,Thursday,20,Suicide-related,D51,No,74
2014,January,Thursday,14,Person in Crisis,D22,Yes,16
2014,January,Thursday,10,Suicide-related,D14,Yes,95
2014,January,Thursday,12,Person in Crisis,D23,No,1
2014,January,Thursday,15,Suicide-related,D52,No,76
2014,January,Thursday,22,Suicide-related,D41,No,124
2014,January,Thursday,14,Person in Crisis,D42,No,118
2014,January,Thursday,17,Suicide-related,D53,No,102
2014,January,Thursday,21,Overdose,D43,No,135
2014,January,Thursday,8,Person in Crisis,D31,No,27
2014,January,Thursday,9,Person in Crisis,D32,No,105
2014,January,Thursday,14,Person in Crisis,D52,No,77
2014,January,Thursday,18,Person in Crisis,D55,No,63
2014,January,Thursday,21,Person in Crisis,D43,No,123
2014,January,Thursday,8,Person in Crisis,D13,No,32
2014,January,Thursday,20,Person in Crisis,D52,Yes,79
2014,January,Thursday,9,Person in Crisis,D31,No,25
2014,January,Thursday,22,Person in Crisis,D41,No,138
2014,January,Thursday,2,Suicide-related,D41,No,119
2014,January,Thursday,19,Person in Crisis,D31,No,25
2014,January,Thursday,9,Person in Crisis,D14,No,85
2014,January,Thursday,14,Person in Crisis,D53,No,98
2014,January,Friday,17,Suicide-related,D42,Yes,129
2014,January,Friday,16,Person in Crisis,D41,No,125
2014,January,Friday,8,Person in Crisis,D55,No,68
2014,January,Friday,14,Person in Crisis,D55,No,65
2014,January,Friday,9,Person in Crisis,D43,No,123
2014,January,Friday,13,Person in Crisis,D41,Yes,126
2014,January,Friday,13,Person in Crisis,D55,Yes,70
2014,January,Friday,15,Person in Crisis,D42,Yes,128
2014,January,Friday,20,Person in Crisis,D51,No,73
2014,January,Friday,6,Suicide-related,D14,No,80
2014,January,Friday,5,Person in Crisis,D23,Yes,2
2014,January,Friday,14,Person in Crisis,D43,No,140
2014,January,Friday,15,Person in Crisis,D51,No,73
2014,January,Friday,1,Person in Crisis,D13,No,31
2014,January,Friday,18,Suicide-related,D41,No,124
2014,January,Friday,23,Person in Crisis,D22,No,14
2014,January,Friday,0,Person in Crisis,D51,No,74
2014,January,Friday,21,Person in Crisis,D41,Yes,124
2014,January,Friday,17,Person in Crisis,D13,No,94
2014,January,Friday,13,Person in Crisis,D51,Yes,73
2014,January,Friday,23,Person in Crisis,D42,Yes,118
2014,January,Friday,2,Person in Crisis,D12,No,90
2014,January,Friday,17,Person in Crisis,D41,Yes,125
2014,January,Friday,21,Person in Crisis,D53,No,100
2014,January,Friday,10,Person in Crisis,D33,No,46
2014,January,Friday,14,Person in Crisis,D23,No,7
2014,January,Friday,15,Person in Crisis,D11,No,90
