event_year,event_month,event_dow,event_hour,event_type,division,apprehension_made,hood_140
2015,June,Thursday,3,Person in Crisis,D13,No,53
2015,December,Thursday,16,Person in Crisis,D11,Yes,129
2014,August,Sunday,7,Overdose,D51,No,121
2014,April,Sunday,8,Person in Crisis,D14,No,19
2015,February,Monday,4,Suicide-related,D42,No,88
2014,March,Saturday,15,Suicide-related,D12,No,21
2014,July,Wednesday,11,Overdose,D41,Yes,71
2015,April,Tuesday,17,Person in Crisis,D42,No,86
2015,March,Sunday,6,Overdose,D43,No,125
2014,June,Friday,3,Suicide-related,D55,No,77
2015,August,Sunday,20,Suicide-related,D32,Yes,139
2014,April,Wednesday,3,Person in Crisis,D14,No,109
2015,November,Monday,13,Overdose,D55,Yes,44
2015,April,Sunday,15,Person in Crisis,D23,No,91
2014,August,Wednesday,9,Person in Crisis,D31,No,43
2014,May,Wednesday,15,Overdose,D53,Yes,21
2014,November,Friday,10,Suicide-related,D14,No,12
2015,September,Wednesday,20,Overdose,D13,Yes,125
2015,September,Sunday,2,Overdose,D22,No,55
2015,October,Monday,2,Overdose,D53,No,78
2015,May,Sunday,11,Person in Crisis,D41,No,50
2014,January,Wednesday,21,Suicide-related,D32,No,82
2014,August,Saturday,15,Suicide-related,D53,No,59
2015,November,Tuesday,5,Overdose,D43,No,42
2015,April,Friday,0,Overdose,D22,No,67
2015,October,Sunday,19,Person in Crisis,D52,Yes,134
2014,July,Friday,6,Suicide-related,D31,Yes,112
2014,October,Sunday,22,Person in Crisis,D14,No,133
2015,March,Sunday,5,Suicide-related,D23,No,5
2014,June,Sunday,16,Person in Crisis,D54,Yes,41
2014,June,Thursday,8,Overdose,D32,No,73
2014,August,Friday,19,Person in Crisis,D31,No,94
2015,April,Thursday,17,Person in Crisis,D14,No,90
2015,October,Wednesday,14,Suicide-related,D42,No,20
2014,July,Tuesday,17,Person in Crisis,D41,No,109
2015,July,Monday,10,Overdose,D55,No,139
2015,October,Monday,5,Suicide-related,D43,Yes,57
2014,April,Thursday,0,Suicide-related,D43,No,10
2015,January,Friday,23,Suicide-related,D55,No,140
2014,December,Wednesday,13,Suicide-related,D12,No,59
2014,May,Saturday,17,Overdose,D55,Yes,113
2014,August,Thursday,4,Person in Crisis,D54,No,117
2014,December,Tuesday,2,Overdose,D14,Yes,118
2014,August,Saturday,2,Overdose,D51,Yes,54
2015,January,Friday,4,Suicide-related,D54,No,6
2015,April,Thursday,1,Overdose,D33,No,121
2015,March,Monday,0,Suicide-related,D23,No,128
2015,April,Sunday,2,Suicide-related,D43,No,86
2014,May,Saturday,16,Person in Crisis,D33,No,127
2014,October,Wednesday,10,Overdose,D51,Yes,127
2014,July,Friday,17,Suicide-related,D42,No,36
2014,September,Saturday,19,Overdose,D33,No,97
2015,April,Sunday,6,Suicide-related,D12,No,90
2015,August,Friday,20,Suicide-related,D31,No,51
2015,May,Wednesday,11,Overdose,D42,No,131
2015,July,Friday,23,Person in Crisis,D31,No,12
2015,April,Sunday,19,Suicide-related,D11,No,22
2015,December,Wednesday,8,Overdose,D14,Yes,35
2015,December,Sunday,0,Suicide-related,D14,No,6
2014,March,Sunday,14,Overdose,D11,No,73
2014,January,Saturday,1,Person in Crisis,D51,No,81
2015,March,Monday,21,Suicide-related,D23,No,125
2014,August,Friday,23,Suicide-related,D31,No,122
2015,January,Monday,16,Suicide-related,D12,No,87
2015,May,Wednesday,16,Overdose,D55,Yes,8
2014,November,Wednesday,19,Suicide-related,D33,Yes,111
2014,February,Saturday,3,Suicide-related,D53,No,69
2015,February,Thursday,1,Overdose,D51,Yes,60
2014,May,Tuesday,14,Person in Crisis,D54,Yes,118
2015,March,Saturday,19,Suicide-related,D55,Yes,4
2015,May,Saturday,17,Suicide-related,D32,No,59
2015,May,Monday,15,Overdose,D22,No,1
2015,August,Tuesday,18,Person in Crisis,D53,No,9
2015,January,Monday,1,Suicide-related,D55,Yes,123
2014,March,Sunday,13,Person in Crisis,D12,No,78
2015,September,Friday,4,Overdose,D42,No,14
2015,August,Friday,20,Person in Crisis,D22,No,114
2014,January,Tuesday,18,Person in Crisis,D53,Yes,16
2015,September,Sunday,7,Overdose,D13,No,26
2015,May,Thursday,3,Person in Crisis,D42,Yes,118
2014,January,Sunday,7,Suicide-related,D43,No,63
2015,October,Saturday,4,Overdose,D43,Yes,87
2015,December,Thursday,12,Suicide-related,D55,No,97
2015,April,Saturday,1,Person in Crisis,D42,No,81
2015,February,Thursday,18,Person in Crisis,D42,No,21
2015,December,Thursday,8,Person in Crisis,D11,No,15
2015,October,Tuesday,17,Overdose,D32,Yes,84
2014,November,Sunday,2,Person in Crisis,D11,No,79
2014,August,Saturday,13,Suicide-related,D42,No,65
2015,June,Saturday,7,Person in Crisis,D55,No,28
2014,June,Friday,8,Person in Crisis,D51,Yes,19
2015,March,Wednesday,12,Person in Crisis,D32,No,104
2015,December,Wednesday,18,Suicide-related,D52,Yes,79
2014,February,Thursday,10,Person in Crisis,D12,No,92
2015,July,Friday,0,Person in Crisis,D55,No,59
2014,March,Monday,21,Suicide-related,D13,Yes,29
2014,October,Wednesday,11,Suicide-related,D55,No,86
2015,January,Friday,9,Person in Crisis,D43,Yes,119
2015,July,Tuesday,18,Overdose,D31,No,51
2014,September,Thursday,11,Overdose,D12,No,50
2014,January,Saturday,18,Overdose,D43,No,82
2015,October,Tuesday,13,Person in Crisis,D14,Yes,27
2014,November,Sunday,16,Overdose,D51,Yes,6
2015,October,Tuesday,19,Person in Crisis,D14,No,23
2015,December,Thursday,13,Suicide-related,D52,Yes,62
2014,February,Friday,3,Overdose,D14,Yes,91
2015,July,Friday,23,Suicide-related,D11,Yes,110
2014,November,Thursday,3,Suicide-related,D14,No,77
2015,February,Tuesday,0,Person in Crisis,D23,No,114
2015,March,Thursday,17,Suicide-related,D12,Yes,25
2014,December,Friday,1,Overdose,D53,Yes,94
2015,November,Saturday,9,Suicide-related,D13,No,126
2015,May,Wednesday,6,Suicide-related,D13,No,4
2015,September,Thursday,15,Suicide-related,D55,No,53
2014,November,Sunday,12,Overdose,D51,No,46
2015,May,Friday,6,Overdose,D14,No,60
2015,February,Thursday,18,Suicide-related,D11,No,60
2014,August,Wednesday,16,Overdose,D22,No,94
2015,August,Friday,21,Suicide-related,D11,No,66
2014,April,Friday,17,Overdose,D53,No,130
2015,May,Sunday,21,Overdose,D55,No,99
2015,January,Thursday,2,Person in Crisis,D14,No,30
2014,November,Wednesday,7,Person in Crisis,D42,Yes,112
2015,December,Monday,21,Person in Crisis,D51,No,1
2014,April,Monday,7,Suicide-related,D11,No,3
2015,September,Friday,15,Suicide-related,D31,Yes,23
2015,September,Tuesday,17,Suicide-related,D22,Yes,120
2014,September,Tuesday,6,Suicide-related,D41,No,114
2015,April,Friday,13,Suicide-related,D42,No,61
2014,September,Saturday,20,Overdose,D22,Yes,68
2015,September,Monday,21,Person in Crisis,D11,No,66
2015,September,Monday,4,Person in Crisis,D31,No,68
2015,April,Thursday,8,Overdose,D32,Yes,96
2015,April,Friday,23,Suicide-related,D53,No,70
2015,April,Sunday,8,Overdose,D43,No,129
2015,October,Tuesday,15,Overdose,D14,No,117
2015,July,Monday,8,Overdose,D32,No,124
2014,November,Monday,7,Overdose,D54,Yes,28
2014,July,Sunday,22,Overdose,D31,No,8
2014,December,Friday,19,Suicide-related,D52,No,114
2015,May,Friday,23,Overdose,D12,No,69
2014,November,Wednesday,6,Overdose,D33,Yes,40
2014,April,Thursday,21,Person in Crisis,D52,No,45
2014,June,Sunday,23,Overdose,D11,No,125
2014,September,Saturday,10,Overdose,D51,No,32
2014,July,Sunday,21,Person in Crisis,D54,Yes,89
2015,September,Monday,0,Suicide-related,D22,Yes,22
2015,November,Monday,19,Overdose,D53,Yes,49
2014,May,Wednesday,16,Suicide-related,D53,No,3
2015,September,Monday,1,Suicide-related,D32,No,87
2015,February,Sunday,1,Person in Crisis,D41,No,3
2014,October,Wednesday,3,Person in Crisis,D55,No,43
2015,February,Wednesday,4,Overdose,D12,No,85
2015,November,Friday,23,Person in Crisis,D42,No,2
2014,October,Thursday,23,Suicide-related,D42,No,89
2014,June,Saturday,20,Overdose,D13,No,102
2015,July,Thursday,5,Person in Crisis,D22,No,95
2014,April,Monday,5,Overdose,D54,No,21
2014,December,Tuesday,14,Overdose,D51,No,140
2015,November,Saturday,23,Suicide-related,D12,No,1
2014,August,Monday,18,Person in Crisis,D41,No,127
2014,August,Monday,6,Person in Crisis,D41,No,23
2014,July,Friday,15,Overdose,D55,No,33
2015,September,Friday,18,Person in Crisis,D53,No,137
2015,June,Friday,10,Overdose,D23,No,125
2014,September,Tuesday,13,Overdose,D22,No,59
2014,October,Thursday,11,Overdose,D12,No,129
2015,February,Saturday,1,Person in Crisis,D41,No,128
2014,September,Monday,6,Suicide-related,D53,Yes,93
2014,November,Monday,23,Person in Crisis,D12,Yes,122
2014,October,Saturday,6,Overdose,D41,No,11
2014,March,Thursday,17,Suicide-related,D42,No,66
2014,June,Tuesday,7,Person in Crisis,D14,Yes,32
2015,March,Thursday,8,Overdose,D11,No,107
2015,October,Thursday,8,Person in Crisis,D43,No,23
2014,June,Sunday,7,Overdose,D42,No,110
2014,September,Friday,15,Suicide-related,D14,No,82
2015,May,Tuesday,22,Overdose,D32,Yes,14
2015,July,Sunday,21,Person in Crisis,D33,No,5
2014,June,Wednesday,3,Person in Crisis,D12,No,126
2014,August,Saturday,16,Overdose,D23,No,80
2014,February,Sunday,5,Overdose,D12,No,21
2014,June,Friday,12,Suicide-related,D23,Yes,22
2014,November,Friday,20,Overdose,D23,No,78
2014,September,Monday,4,Person in Crisis,D13,Yes,79
2014,June,Tuesday,9,Overdose,D23,No,129
2014,March,Wednesday,14,Person in Crisis,D11,No,89
2014,February,Saturday,20,Overdose,D23,No,36
2014,October,Wednesday,8,Suicide-related,D33,No,109
2015,June,Wednesday,23,Overdose,D33,No,109
2014,August,Wednesday,12,Person in Crisis,D13,No,37
2014,December,Thursday,11,Person in Crisis,D32,No,30
2014,December,Thursday,6,Overdose,D42,No,8
2015,June,Sunday,21,Overdose,D14,No,25
2014,July,Wednesday,13,Overdose,D22,No,97
2014,January,Monday,3,Person in Crisis,D54,No,50
2014,August,Tuesday,9,Person in Crisis,D14,No,124
2015,August,Monday,21,Suicide-related,D23,Yes,119
2015,August,Thursday,10,Person in Crisis,D53,No,38
2014,June,Monday,13,Overdose,D43,No,54
2014,August,Wednesday,13,Person in Crisis,D22,No,129
2014,July,Thursday,13,Suicide-related,D51,No,82
2014,October,Tuesday,5,Person in Crisis,D13,No,128
2014,February,Tuesday,3,Overdose,D33,No,118
2014,November,Tuesday,4,Overdose,D55,No,101
2014,November,Friday,6,Person in Crisis,D51,No,48
2014,December,Thursday,15,Overdose,D43,No,105
2014,May,Tuesday,12,Suicide-related,D54,No,117
2014,October,Sunday,16,Overdose,D13,No,43
2014,November,Thursday,16,Overdose,D52,Yes,117
2014,October,Friday,22,Overdose,D51,No,37
2015,November,Sunday,5,Overdose,D31,No,72
2014,April,Tuesday,2,Overdose,D54,No,41
2014,March,Sunday,14,Overdose,D42,Yes,82
2014,January,Tuesday,1,Person in Crisis,D32,Yes,30
2015,February,Friday,23,Overdose,D13,Yes,123
2015,February,Sunday,0,Person in Crisis,D32,No,94
2014,February,Monday,22,Suicide-related,D43,No,79
2014,December,Monday,1,Overdose,D55,Yes,139
2015,October,Tuesday,16,Overdose,D43,No,2
2014,January,Thursday,10,Suicide-related,D11,No,48
2015,May,Thursday,3,Person in Crisis,D13,No,19
2014,February,Thursday,3,Suicide-related,D55,No,126
2015,September,Monday,14,Overdose,D33,No,14
2014,April,Saturday,18,Suicide-related,D41,Yes,95
2014,November,Thursday,2,Person in Crisis,D23,No,132
2014,June,Friday,0,Overdose,D41,No,14
2014,April,Tuesday,15,Person in Crisis,D31,No,124
2014,August,Saturday,4,Overdose,D41,No,132
2014,September,Wednesday,16,Overdose,D12,No,53
2015,March,Wednesday,12,Overdose,D54,Yes,18
2015,March,Wednesday,18,Person in Crisis,D32,Yes,37
2014,October,Saturday,8,Person in Crisis,D52,No,39
2015,April,Monday,6,Overdose,D51,No,69
2015,June,Wednesday,9,Overdose,D23,Yes,14
2014,January,Thursday,2,Person in Crisis,D42,Yes,14
2015,February,Monday,2,Overdose,D51,No,83
2014,May,Tuesday,19,Overdose,D33,No,37
2015,November,Tuesday,21,Suicide-related,D12,Yes,4
2014,September,Thursday,4,Suicide-related,D41,No,103
2014,September,Friday,18,Person in Crisis,D53,Yes,11
2015,November,Sunday,21,Suicide-related,D51,No,91
2015,October,Monday,7,Overdose,D23,No,80
2015,March,Sunday,17,Overdose,D32,No,79
2014,December,Sunday,0,Suicide-related,D22,No,82
2014,February,Wednesday,11,Suicide-related,D51,Yes,37
2015,August,Friday,4,Suicide-related,D22,No,53
2015,September,Monday,20,Overdose,D22,No,105
2014,January,Saturday,22,Suicide-related,D14,No,85
2014,June,Saturday,15,Overdose,D31,No,67
2015,December,Saturday,9,Person in Crisis,D14,No,52
2015,May,Wednesday,6,Overdose,D43,No,21
2014,January,Tuesday,13,Overdose,D22,No,134
2015,May,Monday,12,Suicide-related,D51,No,106
2014,March,Monday,17,Person in Crisis,D55,No,123
2015,March,Tuesday,13,Person in Crisis,D12,No,19
2015,March,Tuesday,19,Overdose,D42,Yes,16
2014,May,Sunday,5,Person in Crisis,D32,Yes,49
2015,May,Monday,13,Person in Crisis,D54,Yes,65
2014,February,Thursday,11,Overdose,D54,Yes,62
2014,December,Wednesday,18,Person in Crisis,D11,Yes,68
2014,July,Thursday,19,Overdose,D43,No,64
2014,February,Wednesday,8,Suicide-related,D31,No,62
2014,January,Sunday,3,Suicide-related,D13,No,122
2014,December,Saturday,16,Person in Crisis,D11,No,8
2014,April,Wednesday,3,Overdose,D13,Yes,19
2015,February,Wednesday,11,Person in Crisis,D31,Yes,75
2014,February,Sunday,0,Suicide-related,D41,Yes,64
2014,November,Thursday,12,Overdose,D22,No,136
2014,August,Saturday,20,Suicide-related,D33,No,48
2015,September,Saturday,14,Person in Crisis,D54,No,64
2014,December,Wednesday,21,Overdose,D55,No,111
2014,June,Friday,4,Person in Crisis,D13,No,85
2014,September,Tuesday,23,Person in Crisis,D22,No,91
2015,November,Sunday,15,Suicide-related,D43,Yes,67
2015,September,Saturday,16,Suicide-related,D53,Yes,54
2015,November,Sunday,17,Overdose,D31,No,34
2015,February,Friday,9,Suicide-related,D22,Yes,106
2015,June,Saturday,15,Overdose,D22,No,43
2014,July,Friday,16,Overdose,D53,No,77
2015,November,Friday,3,Suicide-related,D52,No,120
2015,October,Saturday,7,Overdose,D54,No,45
2014,November,Friday,18,Person in Crisis,D51,No,26
2014,April,Thursday,11,Person in Crisis,D12,No,122
2014,October,Saturday,11,Suicide-related,D11,No,73
2015,November,Monday,7,Suicide-related,D41,No,2
2015,April,Tuesday,3,Person in Crisis,D13,No,138
2014,September,Wednesday,3,Person in Crisis,D54,No,5
2014,September,Thursday,12,Person in Crisis,D23,Yes,73
2015,April,Thursday,11,Overdose,D42,No,134
2015,January,Wednesday,15,Overdose,D22,Yes,131
2015,September,Saturday,7,Suicide-related,D52,No,106
2015,December,Saturday,12,Person in Crisis,D23,No,95
2014,May,Friday,20,Person in Crisis,D23,No,104
2015,February,Wednesday,9,Suicide-related,D13,Yes,128
2015,February,Thursday,19,Suicide-related,D51,Yes,104
2015,January,Monday,7,Overdose,D55,No,14
2015,September,Monday,18,Suicide-related,D14,No,53
2014,September,Wednesday,17,Suicide-related,D53,No,80
2014,October,Tuesday,1,Suicide-related,D12,No,53
2015,October,Thursday,16,Overdose,D54,No,75
2015,February,Tuesday,7,Overdose,D14,No,4
2014,February,Saturday,11,Person in Crisis,D33,Yes,31
2014,September,Friday,19,Person in Crisis,D33,Yes,119
2015,February,Monday,0,Overdose,D42,No,86
2014,November,Saturday,11,Overdose,D55,No,97
2014,November,Friday,9,Person in Crisis,D42,No,98
2015,April,Tuesday,12,Overdose,D55,Yes,134
2014,February,Monday,1,Suicide-related,D11,No,64
2014,August,Saturday,16,Overdose,D42,No,76
2014,August,Saturday,0,Person in Crisis,D11,No,20
2014,August,Saturday,4,Suicide-related,D11,No,89
2015,April,Tuesday,12,Overdose,D13,Yes,77
2014,March,Sunday,2,Person in Crisis,D43,No,40
2014,June,Tuesday,4,Overdose,D23,No,49
2014,November,Sunday,16,Suicide-related,D43,No,23
2015,January,Friday,2,Overdose,D31,Yes,83
2015,June,Saturday,0,Person in Crisis,D14,No,36
2014,August,Sunday,22,Suicide-related,D42,No,19
2015,August,Wednesday,13,Person in Crisis,D53,No,16
2014,May,Thursday,14,Suicide-related,D53,No,46
2014,August,Saturday,16,Person in Crisis,D55,No,78
2015,February,Sunday,19,Person in Crisis,D14,Yes,8
2015,May,Sunday,9,Person in Crisis,D55,No,87
2014,April,Friday,22,Person in Crisis,D52,Yes,137
2014,December,Tuesday,2,Overdose,D43,No,5
2014,May,Friday,13,Person in Crisis,D53,No,55
2014,January,Monday,23,Suicide-related,D53,No,9
2015,April,Thursday,14,Overdose,D53,No,13
2014,June,Monday,19,Person in Crisis,D52,No,4
2015,July,Wednesday,10,Overdose,D55,No,111
2015,July,Wednesday,21,Person in Crisis,D22,No,16
2015,January,Monday,0,Person in Crisis,D32,No,43
2015,January,Sunday,8,Suicide-related,D13,No,114
2014,January,Friday,11,Overdose,D55,Yes,72
2015,April,Monday,20,Person in Crisis,D12,No,123
2014,December,Wednesday,3,Overdose,D42,Yes,70
2014,July,Wednesday,22,Overdose,D51,No,17
2015,December,Monday,6,Person in Crisis,D23,No,26
2015,August,Wednesday,9,Person in Crisis,D41,No,118
2014,January,Friday,8,Suicide-related,D12,Yes,18
2014,January,Monday,2,Suicide-related,D42,No,42
2014,September,Saturday,7,Person in Crisis,D42,No,123
2014,April,Tuesday,1,Person in Crisis,D12,No,46
2015,October,Saturday,20,Overdose,D33,No,78
2015,January,Monday,8,Person in Crisis,D55,No,72
2015,March,Thursday,11,Person in Crisis,D54,No,137
2014,May,Thursday,6,Suicide-related,D11,No,106
2015,February,Friday,21,Suicide-related,D55,No,77
2015,November,Saturday,20,Person in Crisis,D13,No,1
2014,May,Friday,10,Person in Crisis,D42,No,121
2015,September,Friday,20,Person in Crisis,D33,No,134
2015,January,Monday,18,Suicide-related,D51,No,69
2014,July,Wednesday,22,Person in Crisis,D31,No,103
2015,April,Friday,15,Person in Crisis,D55,No,54
2014,October,Friday,16,Person in Crisis,D54,Yes,3
2015,October,Sunday,3,Person in Crisis,D13,No,32
2015,November,Friday,1,Suicide-related,D23,No,33
2014,June,Saturday,12,Person in Crisis,D13,No,75
2014,October,Friday,17,Overdose,D12,No,130
2014,April,Sunday,8,Suicide-related,D43,No,85
2014,August,Saturday,7,Suicide-related,D33,No,39
2015,March,Thursday,9,Suicide-related,D53,Yes,62
2014,April,Thursday,9,Suicide-related,D41,No,63
2015,January,Thursday,15,Overdose,D14,No,92
2015,September,Tuesday,3,Suicide-related,D53,No,73
2015,October,Sunday,11,Suicide-related,D11,No,19
2015,July,Sunday,19,Person in Crisis,D23,No,131
2014,September,Tuesday,15,Person in Crisis,D14,Yes,63
2015,April,Thursday,14,Overdose,D53,No,37
2014,March,Sunday,11,Suicide-related,D11,Yes,11
2014,September,Friday,13,Person in Crisis,D55,No,52
2015,July,Saturday,13,Person in Crisis,D42,No,131
2014,December,Sunday,7,Suicide-related,D41,No,101
2014,October,Thursday,1,Overdose,D14,No,20
2015,March,Saturday,8,Suicide-related,D12,No,108
2015,August,Monday,12,Person in Crisis,D43,Yes,24
2015,March,Wednesday,21,Person in Crisis,D23,No,133
2015,May,Sunday,2,Overdose,D11,No,44
2014,October,Tuesday,7,Suicide-related,D51,No,49
2014,August,Friday,7,Person in Crisis,D53,No,6
2014,July,Thursday,4,Suicide-related,D23,No,35
2015,November,Monday,13,Suicide-related,D12,Yes,39
2014,January,Friday,8,Suicide-related,D22,No,17
2015,August,Wednesday,5,Overdose,D31,No,30
2014,September,Sunday,9,Overdose,D51,No,78
2015,November,Thursday,1,Overdose,D55,Yes,69
2014,September,Wednesday,21,Suicide-related,D53,No,139
